epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6433,2.0865,3.26745,1.85668,0.0024,0.22222,0.00624,0.0018,2.1048,3.94784,2.03531,2e-05,2e-05,2e-05
2,33.5449,2.05035,3.41383,1.73517,0.00307,0.28395,0.01278,0.00316,1.97236,3.90449,1.91914,5.9406e-05,5.9406e-05,5.9406e-05
3,47.4698,2.06889,3.48291,1.74815,0.00427,0.39506,0.02682,0.01657,1.83544,3.76106,1.75889,9.802e-05,9.802e-05,9.802e-05
4,62.5292,1.75241,3.21417,1.62967,0.00627,0.58025,0.03715,0.02309,1.69959,3.58756,1.5514,0.000135842,0.000135842,0.000135842
5,77.3743,1.69791,3.19289,1.61654,0.00693,0.64198,0.0615,0.03908,1.5312,3.44944,1.38591,0.000172872,0.000172872,0.000172872
6,91.3908,1.57002,2.87932,1.43534,0.008,0.74074,0.09211,0.06013,1.47347,3.35652,1.28997,0.00020911,0.00020911,0.00020911
7,105.491,1.65975,2.62041,1.43687,0.00867,0.80247,0.12238,0.08051,1.46866,3.27106,1.25872,0.000244556,0.000244556,0.000244556
8,120.582,1.51858,2.44559,1.33634,0.0092,0.85185,0.15556,0.09096,1.50036,3.20141,1.23871,0.00027921,0.00027921,0.00027921
9,135.303,1.58352,2.65901,1.59135,0.0092,0.85185,0.16834,0.09707,1.58024,3.15305,1.25274,0.000313072,0.000313072,0.000313072
10,149.857,1.70493,2.14414,1.47565,0.00933,0.8642,0.19313,0.11468,1.57292,3.1176,1.23218,0.000346142,0.000346142,0.000346142
11,163.867,1.53663,1.88125,1.31464,0.0096,0.88889,0.21298,0.1295,1.54094,3.08881,1.20155,0.00037842,0.00037842,0.00037842
12,178.664,1.4868,1.84906,1.28279,0.00987,0.91358,0.23253,0.14984,1.48577,3.04514,1.16225,0.000409906,0.000409906,0.000409906
13,194.904,1.70814,1.92563,1.36581,0.01027,0.95062,0.28449,0.18681,1.38245,2.98499,1.13485,0.0004406,0.0004406,0.0004406
14,215.464,1.34611,1.70635,1.25506,1,0.11493,0.29893,0.19549,1.33748,2.9337,1.10883,0.000470502,0.000470502,0.000470502
15,231.292,1.61879,2.0032,1.36514,1,0.08437,0.30837,0.20365,1.26969,2.89572,1.08452,0.000499612,0.000499612,0.000499612
16,246.865,1.5785,1.66355,1.31729,1,0.12063,0.33781,0.2234,1.28437,2.83984,1.07314,0.00052793,0.00052793,0.00052793
17,262.798,1.43927,1.85699,1.24123,0.90938,0.12393,0.37979,0.25327,1.30468,2.7827,1.08556,0.000555456,0.000555456,0.000555456
18,280.067,1.45729,1.68727,1.19641,1,0.12104,0.40948,0.27214,1.32901,2.77664,1.1175,0.00058219,0.00058219,0.00058219
19,296.286,1.48318,1.58526,1.3043,1,0.06846,0.40308,0.25179,1.37207,2.82871,1.12306,0.000608132,0.000608132,0.000608132
20,314.181,1.45005,1.5115,1.22671,1,0.06116,0.36257,0.23351,1.36416,2.8993,1.12044,0.000633282,0.000633282,0.000633282
21,329.509,1.4554,1.43889,1.27331,0.75596,0.07672,0.22383,0.13993,1.37973,2.99314,1.15966,0.00065764,0.00065764,0.00065764
22,344.781,1.27944,1.76603,1.20043,0.97825,0.08642,0.28924,0.19401,1.35668,3.01094,1.16293,0.000681206,0.000681206,0.000681206
23,360.073,1.27007,1.54122,1.21349,1,0.07638,0.30366,0.21382,1.2998,3.04983,1.12616,0.00070398,0.00070398,0.00070398
24,374.997,1.13124,1.39762,1.15023,1,0.09236,0.32545,0.22483,1.30463,3.04654,1.13695,0.000725962,0.000725962,0.000725962
25,389.774,1.34844,1.29771,1.14611,1,0.12022,0.29121,0.19524,1.30663,3.01518,1.15669,0.000747152,0.000747152,0.000747152
26,405.685,1.36134,1.38668,1.2049,0.64378,0.17284,0.25025,0.16304,1.34739,2.86045,1.20056,0.00076755,0.00076755,0.00076755
27,422.488,1.25459,1.29844,1.16662,0.40092,0.22222,0.28624,0.17947,1.39035,2.70803,1.19029,0.000787156,0.000787156,0.000787156
28,438.731,1.31368,1.39723,1.16382,0.40092,0.22222,0.28624,0.17947,1.39035,2.70803,1.19029,0.00080597,0.00080597,0.00080597
29,454.227,1.29682,1.62244,1.16817,0.62356,0.37037,0.40884,0.24738,1.36474,2.52929,1.18283,0.000823992,0.000823992,0.000823992
30,468.58,1.28261,1.41441,1.19695,0.57103,0.2716,0.40025,0.25161,1.369,2.59563,1.18017,0.000841222,0.000841222,0.000841222
31,484.583,1.25484,1.38286,1.15314,0.57103,0.2716,0.40025,0.25161,1.369,2.59563,1.18017,0.00085766,0.00085766,0.00085766
32,501.995,1.20246,1.42828,1.14431,0.64815,0.2716,0.46111,0.28861,1.32548,2.5113,1.15687,0.000873306,0.000873306,0.000873306
33,517.406,1.21447,1.33147,1.17586,0.7316,0.44444,0.60827,0.36419,1.2869,2.35959,1.12437,0.00088816,0.00088816,0.00088816
