epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,515.65,1.27722,1.26484,1.1793,0.40736,0.28395,0.30936,0.20664,1.27037,2.53389,1.17528,0.00159262,0.00159262,0.00159262
43,527.867,1.27329,1.25683,1.18955,0.40736,0.28395,0.30936,0.20664,1.27037,2.53389,1.17528,0.00162931,0.00162931,0.00162931
44,539.876,1.16582,1.14584,1.16895,0.54997,0.35802,0.40091,0.24896,1.29621,2.34037,1.21464,0.00166593,0.00166593,0.00166593
45,551.726,1.25938,1.20044,1.12782,0.54997,0.35802,0.40091,0.24896,1.29621,2.34037,1.21464,0.00170246,0.00170246,0.00170246
46,563.922,1.2439,1.16164,1.20881,0.68411,0.48148,0.58069,0.32626,1.46312,2.05143,1.31943,0.00173892,0.00173892,0.00173892
47,575.813,1.15869,1.12942,1.13157,0.68411,0.48148,0.58069,0.32626,1.46312,2.05143,1.31943,0.0017753,0.0017753,0.0017753
48,587.821,1.18263,1.16285,1.20189,0.62568,0.5572,0.56579,0.31886,1.37468,1.96731,1.26058,0.00181159,0.00181159,0.00181159
49,599.798,1.20732,1.09282,1.17641,0.62568,0.5572,0.56579,0.31886,1.37468,1.96731,1.26058,0.00184781,0.00184781,0.00184781
50,611.857,1.21232,1.42273,1.28203,0.51418,0.65432,0.52595,0.30895,1.36783,1.94159,1.24291,0.00188395,0.00188395,0.00188395
51,623.936,1.40314,1.23296,1.24817,0.51418,0.65432,0.52595,0.30895,1.36783,1.94159,1.24291,0.001901,0.001901,0.001901
52,636.145,1.26459,1.20248,1.22862,0.43069,0.66313,0.43088,0.26353,1.42226,1.97024,1.32793,0.00189902,0.00189902,0.00189902
53,648.085,1.18195,1.26357,1.12826,0.43069,0.66313,0.43088,0.26353,1.42226,1.97024,1.32793,0.00189704,0.00189704,0.00189704
54,660.336,1.25922,1.25261,1.15616,0.58857,0.69136,0.61089,0.33636,1.46062,1.70413,1.39542,0.00189506,0.00189506,0.00189506
55,672.587,1.44077,1.28932,1.23647,0.58857,0.69136,0.61089,0.33636,1.46062,1.70413,1.39542,0.00189308,0.00189308,0.00189308
56,1588.48,1.18162,1.08867,1.13425,0.68994,0.76923,0.74079,0.42036,1.31622,1.57436,1.30743,0.0018911,0.0018911,0.0018911
57,1600.73,1.25291,1.18342,1.16074,0.68994,0.76923,0.74079,0.42036,1.31622,1.57436,1.30743,0.00188912,0.00188912,0.00188912
58,1612.41,1.24735,0.98222,1.12166,0.64886,0.71605,0.71905,0.47041,1.23516,1.65835,1.24088,0.00188714,0.00188714,0.00188714
59,1623.88,1.1675,1.13474,1.14928,0.64886,0.71605,0.71905,0.47041,1.23516,1.65835,1.24088,0.00188516,0.00188516,0.00188516
60,1635.49,1.22724,1.20592,1.20917,0.48237,0.60494,0.50751,0.31908,1.23629,1.97767,1.25364,0.00188318,0.00188318,0.00188318
61,1647.52,1.22367,1.13869,1.15783,0.48237,0.60494,0.50751,0.31908,1.23629,1.97767,1.25364,0.0018812,0.0018812,0.0018812
62,1659.14,1.10154,1.11236,1.10554,0.20976,0.59259,0.21115,0.12434,1.22993,2.6722,1.28824,0.00187922,0.00187922,0.00187922
63,1670.84,1.15012,1.01614,1.09392,0.20976,0.59259,0.21115,0.12434,1.22993,2.6722,1.28824,0.00187724,0.00187724,0.00187724
64,1682.56,1.14666,1.01765,1.10281,0.28404,0.55556,0.29554,0.17966,1.28097,2.5322,1.24596,0.00187526,0.00187526,0.00187526
65,1694.2,1.0853,1.07601,1.11727,0.28404,0.55556,0.29554,0.17966,1.28097,2.5322,1.24596,0.00187328,0.00187328,0.00187328
66,1706.37,1.13054,0.98577,1.06318,0.31636,0.66667,0.33295,0.19864,1.33811,2.09709,1.26414,0.0018713,0.0018713,0.0018713
67,1717.9,1.1063,1.05587,1.14412,0.31636,0.66667,0.33295,0.19864,1.33811,2.09709,1.26414,0.00186932,0.00186932,0.00186932
68,1729.83,1.12431,1.04158,1.14787,0.35134,0.60853,0.36618,0.23934,1.23567,2.06768,1.18211,0.00186734,0.00186734,0.00186734
69,1741.47,1.22462,1.05571,1.16205,0.35134,0.60853,0.36618,0.23934,1.23567,2.06768,1.18211,0.00186536,0.00186536,0.00186536
70,1753.03,1.23452,1.12061,1.17568,0.4534,0.6554,0.47299,0.30522,1.17108,1.77591,1.12129,0.00186338,0.00186338,0.00186338
71,2717.06,1.0826,0.96042,1.10265,0.4534,0.6554,0.47299,0.30522,1.17108,1.77591,1.12129,0.0018614,0.0018614,0.0018614
72,2730.08,1.04015,1.01381,1.10394,0.60765,0.66924,0.60069,0.40315,1.16526,1.51896,1.14652,0.00185942,0.00185942,0.00185942
73,2741.91,1.15887,0.98854,1.15937,0.60765,0.66924,0.60069,0.40315,1.16526,1.51896,1.14652,0.00185744,0.00185744,0.00185744
74,2753.57,1.06715,0.98647,1.10321,0.59615,0.7284,0.65189,0.44012,1.15707,1.4065,1.15416,0.00185546,0.00185546,0.00185546
75,2765.12,1.06773,0.93181,1.09291,0.59615,0.7284,0.65189,0.44012,1.15707,1.4065,1.15416,0.00185348,0.00185348,0.00185348
76,2776.81,1.08281,0.91329,1.08442,0.73072,0.75309,0.74942,0.48155,1.12334,1.37502,1.14756,0.0018515,0.0018515,0.0018515
77,2788.55,1.09707,0.9634,1.07006,0.73072,0.75309,0.74942,0.48155,1.12334,1.37502,1.14756,0.00184952,0.00184952,0.00184952
78,2800.26,1.07017,0.93676,1.08933,0.78717,0.64198,0.75847,0.54421,1.02723,1.41466,1.0522,0.00184754,0.00184754,0.00184754
